id,title,place,description,siteUrl,favoritesCount,commentsCount,publicationDate,rating
51212,"Прятки, салки и Шекспир: рецензия на спектакль «Барышня-крестьянка» в Молодёжном театре на Фонтанке","null","Молодёжный театр на Фонтанке представил собственную сценическую версию «Барышни-крестьянки» из цикла Александра Сергеевича Пушкина «Повести Белкина». Премьера состоялась в рамках фестиваля «Петербург. Пространство Пушкина», приуроченного к 225-летию поэта. В постановке режиссёра Натальи Архиповой лаконичный пушкинский шедевр оброс дополнительными персонажами и сюжетными линиями, сохранив первоначальную лёгкость и очарование. Руководитель постановки — Семён Спивак.",https://kudago.com/spb/news/review-spektakl-baryshnya-krestianka/,1,0,1725619132,0.7310585786300049
51292,"Петербургу обещают новые температурные рекорды","null","Летняя погода задержится в Северной столице.",https://kudago.com/spb/news/peterburgu-obeschayut-novyie/,0,0,1725615346,0.5
51258,"«Дорожное радио» проведёт специальный эфир из Петропавловской крепости","null","Слушателей ждём особое шоу.",https://kudago.com/spb/news/dorozhnoe-radio-provedyot/,0,0,1725595206,0.5
51282,"В Ленобласти грибы растут даже в лисьих норах","null","Фотографии находки появились в соцсетях.",https://kudago.com/spb/news/v-lenoblasti-gribyi-nahodyat-dazhe/,0,0,1725550093,0.5
51281,"В программу следующих «Поющих мостов» вошли песни в исполнении Галины Вишневской","null","Шоу посвятят дню начала Блокады Ленинграда.",https://kudago.com/spb/news/v-programmu-sleduyuschih-poyuschih/,0,0,1725549422,0.5
51280,"Netflix заказал мультсериал по «Сумеркам»","null","В основу ляжет роман, написанный от лица Эдварда Каллена.",https://kudago.com/all/news/netflix-zakazal-multserial-po-sumerkam/,0,0,1725549100,0.5
51279,"«Убийства в одном здании» получили пятый сезон","null","Сейчас транслируют четвёртый.",https://kudago.com/all/news/ubijstva-v-odnom-zdanii/,0,0,1725545421,0.5
51278,"Проект VK Места выпустил фильм о Санкт-Петербурге","null","Ведущие побывали в старинных дворцах и современных музеях.",https://kudago.com/spb/news/proekt-vk-mesta-vyipustil-film-o/,0,0,1725545255,0.5
51277,"Стало известно, когда в Петербурге внедрят новые способы оплаты проезда","null","Их тестирование начнётся осенью.",https://kudago.com/spb/news/kogda-v-peterburge-vnedryat-novye-sposoby-oplaty-proezda/,0,0,1725542094,0.5
51274,"Строительство ВСМ между Москвой и Петербургом собираются начать в сентябре","null","На её прокладку намерены потратить не более пяти лет.",https://kudago.com/all/news/stroitelstvo-vsm-moskva-/,0,0,1725541918,0.5
51272,"Критики выбрали 100 лучших эпизодов из американских сериалов","null","В топ попали не только современные шоу, но и классика ТВ.",https://kudago.com/all/news/100-luchshih-epizodov-iz-amerikanskih-serialov/,0,0,1725535991,0.5
51269,"Главный штаб закроют на три дня","null","Остальные музейные пространства Эрмитажа работают по привычному графику.",https://kudago.com/spb/news/glavnyij-shtab-zakroyut-na-tri-dnya/,0,0,1725532151,0.5
51268,"Новая книга Виктора Пелевина выйдет в этом году","null","Писатель скрасил ожидание фанатов специальным плейлистом.",https://kudago.com/all/news/novaya-kniga-viktora-pelevina/,0,0,1725531687,0.5
51266,"В России начнут проводить школьные олимпиады по труду","null","Первая состоится в этом году.",https://kudago.com/all/news/v-rossii-nachnut-provodit/,0,0,1725463915,0.5
51265,"В Петербурге первоклассникам подарят билеты в кино","null","С собой предлагают взять одного из родителей.",https://kudago.com/spb/news/v-peterburge-pervoklassnikam/,0,0,1725463816,0.5
51263,"Вышел трейлер нового сериала с Николь Кидман","null","В проекте приняли участие Лив Шрайбер и Дакота Фаннинг.",https://kudago.com/all/news/vyishel-trejler-novogo-seriala-s/,0,0,1725463717,0.5
51260,"Фандом Фест опубликовал финальную программу фестиваля","null","В ней — встречи с авторами и выступления известных артистов.",https://kudago.com/all/news/finalnaya-programma-fandom-festa/,0,0,1725463134,0.5
51257,"Появился новый тизер фильма «Джокер: Безумие на двоих»","null","Также студия опубликовала новый постер и фрагмент из ленты.",https://kudago.com/all/news/vyishel-novyij-tizer-dzhokera/,0,0,1725453335,0.5
51256,"Одинокий дикарь: рецензия на фильм «Чёрный пёс»","null","В российский прокат выходит китайский фильм «Чёрный пёс» — нетипичная история о дружбе человека и собаки. Чем хорош лауреат Каннского фестиваля, рассказываем в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/retsenziya-na-film-chyornyij-pyos/,0,0,1725449432,0.5
51255,"Звёзды «Гарри Поттера» появились в новом трейлере кулинарного шоу по миру Джоан Роулинг","null","В роли ведущих близнецы Уизли.",https://kudago.com/all/news/zvyozdyi-filmov-pro-garri-pottera/,0,0,1725446612,0.5
51254,"В Петербурге побит температурный рекорд","null","Лето продолжается.",https://kudago.com/spb/news/v-peterburge-pobit-temperaturnyij/,0,0,1725443727,0.5
51246,"Школьников Приморья будут учить корейскому языку","null","В регион пригласили педагогов из Северной Кореи.",https://kudago.com/all/news/shkolnikov-primorya-budut-uchit/,0,0,1725381979,0.5
51249,"Попытка повторить: рецензия на фильм «Счастливые дни»","null","Сейчас на больших экранах можно увидеть медленное, тягучее итальянское кино о попытке возродить былые отношения. Режиссёр и сценарист Симоне Петралья берёт на главные роли Анну Гальена и Франко Неро. Но тандем прекрасных актёров, кажется, не показывает максимально слаженной работы. А в самом сюжете угадываются связи с великой «Любовью» Михаэля Ханеке. Подробнее о том, каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/popyitka-povtorit-retsenziya-na/,0,0,1725379446,0.5
51244,"Кровь и мёд: рецензия на фильм «Пчеловод» с Джейсоном Стэйтемом","null","«Пчеловод» — боевик от режиссёра «Патруля», «Ярости» и «Отряда самоубийц» Дэвида Эйра. А любимый, почти что народный, актёр для российского зрителя — Джейсон Стэйтем — пробует себя в новой роли. Перевозчиком, механиком и шпионом он уже был. А вот пчеловод — это нечто новое в фильмографии Стэйтема. Каким получился фильм, читайте в нашей рецензии. Ещё больше обзоров премьер и рецензий на фильмы ищите у нас на сайте в разделе про кино.",https://kudago.com/all/news/krov-i-myod-retsenziya-na-film/,0,0,1725377095,0.5
51243,"Сильвестр Сталлоне пишет сценарий к приквелу «Рокки»","null","В нём главному герою 17 лет.",https://kudago.com/all/news/silvestr-stallone-pishet/,0,0,1725373809,0.5
46751,"Эногастрономический фестиваль «Черноморская винная неделя»","null","«Черноморская винная неделя» в Краснодарском крае вновь станет центром притяжения туристов со всей страны. Гостей ждёт обширная программа на любой вкус: экскурсии, музыка, творчество, спорт, ярмарка и другие события.",https://kudago.com/all/news/enogastronomicheskij-festival/,1,0,1725371808,0.7310585786300049
51241,"В Ленобласти в объектив камеры попал готовящийся к зиме медведь","null","Он отъедается ягодами перед спячкой.",https://kudago.com/spb/news/v-lenoblasti-v-obektiv-kameryi/,0,0,1725369944,0.5
51240,"Эрмитаж объявил тему ежегодного конкурса авторской ёлочной игрушки","null","Работы можно присылать до конца ноября.",https://kudago.com/spb/news/ermitazh-obyavil-temu-ezhegodnogo/,0,0,1725369855,0.5
51238,"Стала известна дата премьеры шоу «Вызов. Китайский сезон»","null","Команды из России и Китая сразятся за 10 000 000 рублей.",https://kudago.com/all/news/stala-izvestna-data-premeryi-shou/,0,0,1725369665,0.5
51239,"В Петербурге расширят список объектов культурного наследия","null","Его пополнят более 30 памятников истории и культуры.",https://kudago.com/spb/news/v-peterburge-rasshiryat-spisok/,0,0,1725366557,0.5
51235,"Работодатели рассказали, нужно ли писать о хобби в резюме","null","Мнения разделились.",https://kudago.com/all/news/rabotodateli-rasskazali-nuzhno/,0,0,1725363434,0.5
51232,"Вход на станцию «Звёздная» ограничат из-за ремонтных работ","null","Их завершат в середине октября.",https://kudago.com/spb/news/vhod-na-stantsiyu-zvyozdnaya-ogranichat-iz-za-remonta/,0,0,1725355845,0.5
51185,"«Главная наша миссия — познакомить людей»: интервью с группой Settlers","null","Команда Settlers, лихо сочетающая русский фолк с инди и соулом, выступит на фестивале «Стороны света». По этому случаю участники коллектива рассказали KudaGo о хороводах со зрителями и поделились гастрольной байкой.",https://kudago.com/spb/news/settlers-interview/,0,0,1725292177,0.5
51227,"В Калифорнии запретили создавать цифровых двойников умерших актёров при помощи ИИ","null","Закон поддержал профсоюз актёров.",https://kudago.com/all/news/v-kalifornii-zapretili-sozdavat/,0,0,1725290587,0.5
51226,"В Сестрорецке благоустроили пляж","null","Там появилась детская площадка.",https://kudago.com/spb/news/v-sestroretske-blagoustroili-plyazh/,0,0,1725290368,0.5
51062,"Go по работам: дизайнеры бренда Wearnost про дружбу с клиентами, уникальные материалы и мечты, ставшие реальностью","null","Анастасию Нефедьеву и Юлию Юсупову объединила общая цель — создавать качественные и комфортные пижамы для дома. Так появился на свет бренд одежды из тенселя с нежным названием Wearnost («Верность»). Мы поговорили с Анастасией и Юлией о том, как они решили шить одежду из этой ткани, как успевают совмещать в себе столько ролей и как сделали так, чтобы покупатели возвращались.",https://kudago.com/all/news/go-po-rabotam-proizvoditeli-i/,0,0,1725290344,0.5
51225,"В Петербурге лося вытащили из Невы","null","Животному помогли вернуться в лес.",https://kudago.com/spb/news/v-peterburge-losyu-pomogli/,0,0,1725287457,0.5
50892,"Go по работам: соосновательницы бренда DEDÈ про гениальные идеи в 4 утра, неуловимую ткань и дьявола в деталях","null","Герои Go по работам — уникальные женщины по нескольким причинам. Во-первых, они являются соосновательницами бренда одежда для деловых женщин DEDÈ. Во-вторых, они успешно совмещают ведение бизнеса с ролью многодетных мам, а бренд называют своим четвёртым ребёнком. Мы поговорили с Мариной Фоменко и Анной Рябенко о том, как им удаётся создавать одежду на века, приучать женщин к комфортному стилю и сочетать элегантность с самоподачей.",https://kudago.com/all/news/go-po-rabotam-soosnovatelnitsyi-dede/,1,0,1725274168,0.7310585786300049
51223,"Осень не спешит в Москву и Петербург","null","Жителям мегаполисов обещают летнюю погоду.",https://kudago.com/all/news/osen-ne-speshit-v-moskvu-i/,0,0,1725274050,0.5
51222,"Боксёры и блогеры соревнуются в бисероплетении в новом шоу","null","Победителя ждёт денежный приз.",https://kudago.com/all/news/bojtsyi-pletut-iz-bisera-ot/,0,0,1725273403,0.5
51218,"10AGE и Анет Сай вместе озвучили книгу и выпустили к ней трек","null","Обе работы — о любви.",https://kudago.com/all/news/10age-i-anet-saj-vmeste-ozvuchili/,0,0,1725265132,0.5
51217,"Барри Кеоган сыграет в фильме по мотивам «Острых козырьков»","null","Детали его роли не разглашаются.",https://kudago.com/all/news/barri-keogan-syigraet-v-filme-po/,0,0,1725032145,0.5
51216,"Приоратский замок осадили ежи","null","Колючие гости поедают кошачий корм.",https://kudago.com/spb/news/prioratskij-zamok-osadili-ezhi/,0,0,1725029323,0.5
